Quest Name,Category,Walkthrough,Objectives
Stadium_Love,Cyberpunk_2077,"This article requires cleanup.[Reason: Wrong format]
When V arrives in the area, they will hear the sounds of partying nearby. As they approach the nearby rooftops, they encounter multiple 6th Street gang members and their leader, Captain Sherman, sitting on a couch with Walker standing next to him.
If V draws their weapon, the job will end and all of the surrounding 6th Street gangers will turn hostile. As long as one remains polite, the captain will speak up and suppress any hostilities, allowing V to stay and participate.
One can then ask if they're doing a ""lead-spitting"" competition and he'll confirm they are and will allow V to enter if they wish, just a few rules:
You have to take a shot of alcohol before each round
You have to use the revolver on the table near the captain for the shots to count
Do not cross the yellow marquee line at each station, otherwise you will be disqualified
Take the revolver from the table, then head to the first station to begin. Note the player won't be able to save manually during these 4 stations, but can load auto saves if needed. The revolver holds 6 shots and the stations are timed. One can also allow the effects of alcohol to wear off between each station to avoid stacking penalties.
To win the prize, V needs to earn at least 44 points (of a maximum 46 possible) to beat Walker.
If V beats Walker, the captain will be impressed and offer membership into 6th Street, which will be rejected. He will warn V that any encounter in the future will likely be hostile. V can then collect their reward, Divided We Stand. V also has the option to insult Sherman, which results in the gang attacking V.
If Gig: Life's Work was completed prior to this job:
A gang member at the first station will make a remark about knowing V from somewhere. After finishing all stations, he will recognize you, causing the others to become hostile, in which case there's no way to end this quest without a fight breaking out. You can collect Divided We Stand after the fight.","See what's going on.
Talk to the 6th Street leader.
Take the gun.
Get as many points as possible. [46]
Go to the first station.
Drink the shot.
Hit as many targets as you can in 12 seconds. [12]
Go to the second station.
Drink the shot.
Hit as many targets as you can in 12 seconds. [12]
Go to the third station.
Drink the shot.
Hit as many targets as you can in 12 seconds. [11]
Go to the final station.
Drink the shot.
Hit as many targets as you can in 12 seconds. [11]
Return to the 6th Street leader.
Ask about your results.
Collect your reward."
The_Prophet%27s_Song,Cyberpunk_2077,"V meets Garry the Prophet right outside Misty's Esoterica in Urmland Street. He has have five separate ramblings that V listens to and engages in a conversation with him on.[N 1]
During the last rambling where Garry is talking about nomads, two Aldecaldos approach and take issue with Garry calling them werewolves.
If V is a Nomad or completed Queen of the Highway prior to the final rambling, and chooses to acknowledge the Aldecados as allies:
V gets them to walk away without any fighting.
If V is not a Nomad or has not completed Queen of the Highway prior to the final rambling, or chooses not to acknowledge them as allies:
V helps Garry fight the Aldecados off.
Once done, Garry tells V about having heard that a mysterious meeting would take place somewhere in Kabuki.
Once at the marked location, Johnny talks with V, then both head over to the hiding spot marked by the quest and wait.[T 2] After some time passes, a group of Maelstrom gang members show up and talk to two corpos named Jane and John Doe before handing over a mysterious chip.[N 2][N 3]
If V prevents the corpos from leaving:
V obtains the Mysterious Chip off of Jane Doe's corpse, and returns to Garry the Prophet.[N 4] However, once V gets to his usual spot, Garry is nowhere to be found, replaced by his disciple who informs V he was taken away.[N 5]
If V donated enough to Garry earlier:
V can ask them about the chip and they will tell you what they know.
If V didn't donate enough earlier:
V can donate to them now to get them to talk.
If V lets the corpos escape:
The side job fails.","Go to the old factory.
Talk to Johnny.
Find somewhere to hide.
Keep a lookout.
Seize the conspirators' chip.
Search the corpse.
Show the mystery chip to the prophet.
Talk to the prophet's disciple.
Ask the prophet's disciple about the chip.
Talk to Johnny."
The_Highwayman,Cyberpunk_2077,"To begin this side job, first, head over to Woodhaven Street in Rancho Coronado East and travel up the street to the Gun-O-Rama gun shop. Around the back you'll find an accessible garage with a decal of a ghost horse to the left of it.
Alternatively, the quest can be started by finding Josie's body and reading the shard, ""Bad news"". In this case, the first objective will be to find the garage.
Once inside, V and Johnny will comment on the scrapped Brennan found inside. To officially start the side job, access the terminal on the opposite side of the garage. After reading the data stored, exit the terminal and V will pick up the photo of James Ito and Josie Alcazar resting next to it. This prompts V and Johnny to look for James to find out more about their situation.
To find James, travel to Japantown West and head south along the waterfront four lane road. There will be a plaza on the east side of the road after Holly Street with a 24/7 stand. James is sitting on the same bench in the photo, in front of the 24/7 stand. Talking to him will begin your investigation into what happened to Josie.
James and Josie's bench in front of the 24/7 stand
To find out what happened to Josie, head to Metro: Ebunike on the map. From the metro, with your scanner active, you will pick up a dried blood splatter on the ground. Following the blood splatters, past the Drop Point, on your right is an alleyway; and behind a dumpster, Josie's body.
There will be a shard labelled ""Bad news"" which details Josie's cause of death as well as information on the location of the bike she stole from a Tyger Claw boss. After having an exchange with Johnny, it's time to return to James in Japantown and confront him about what you've discovered. What happens to James after confronting him is up to you. After the confrontation, you will need to find the Tyger Claw boss's bike in order to complete the job.
The shard found on Josie's body mentions it being stowed on Maelstrom turf by All Foods. This will send you to the All Foods Factory in the Northside of Watson. Across street from the travel point, you'll see the ""ghost horse"" that Josie also mentioned in the shard. The bike is in the nearby garage. Punch in the date that James and Josie met (0214) into the keypad next to the garage and it will open.
James' location.Josie's location.Location of the Tyger Claw bike.","Find the garage Josie mentioned.
Pick up the still.
Find James.
Find out what happened to Josie.
Find James and confront him.
Find the stolen Tyger Claw bike."
I_Can_See_Clearly_Now,Cyberpunk_2077,"A partially hidden S.C.S.M. was being installed and configured at Megabuilding H8.[1] Something seems off about the machine, as it appears to be calling V over. The machine turns out to be an AI by the name of Brendan, and would like you to move over the dumpster that is blocking his view. Moving the dumpster can be completed by passing a Body check (it scales depending on the player level).
After moving the dumpster, Brendan will thank you by dispensing a NiCola and consider V a friend.","Move the dumpster.
Talk to Brendan."
A_Day_In_The_Life,Cyberpunk_2077,"This section requires expanding. Click here to add more.📝
At The Manufactory on Brandon street in Arroyo, Santo Domingo, V approaches one of the drink stands and sits down to talk with Darrell Zhou, the vendor.
To Darrell's annoyance, two kids from the block are messing with his bike, and asks V for their help in solving the matter.
If V agrees to help Darrell:
Darrel and V approach the two kids, and they exchange words. V soon learns that Darrell's sister, Shenna, used to run with them but that he convinced her work for Zetatech to earn more money. Brad and Vance viewed this as a betrayal and want to steal Darrell's bike as revenge.
If V interferes:
V attempts to intimidate Brad and Vance.
If V has completed several gigs for Muamar Reyes:
Vance recognizes V, and the two of them run off.
If V has not yet completed several gigs for Muamar Reyes:
Brad and Vance attack V.
If V doesn't interfere:[N 1]
Brad and Vance attack Darrell and kill him.
If V refuses to help Darrell:[N 1]
Darrell approached the two kids on his own, who proceeded to kill him.","Talk to the thugs.
Defeat the thugs.
Talk to the vendor."
Fortunate_Son,Cyberpunk_2077,"This article requires cleanup.[Reason: Rewrite confirm wiki guidelines]
After helping the Aldecaldos seize the Militech Basilisk, look around the camp to find Bob checking in on an injured Nomad's condition to learn it's not looking good: Jake Scooter needs a special kidney implant for sickle cell anemia. He'll eventually point V to a pickup location Dakota Smith fixed up to get it, a hospital in Little China.[N 1]
Once near the hospital, head to the back cargo area. There an employee will be waiting with the implant. As soon as you pick it up, he runs off as police suddenly charge in and attack you. You have to defeat them all rather than run away to continue the quest. Once they're all dead, confront the employee who'll reveal the police learned of the deal and stepped in to eliminate you, as they believed Dakota was helping out Raffen Shiv and couldn't tell the difference between them and nomads.
After passing an Intelligence attribute check, V asks if anyone else touched the implant and he'll reveal the police put a virus on the firmware as he hands you the original, and that you'll need to swap the unaffected one to remove the virus. You can then decide to let him go or kill him. If V doesn't qualify for the Intelligence attribute check and lets the contact go, then the contact will call out to V as they're leaving. The contact explains that the NCPD put malware on the kidney, and offers V a shard to remove the malware.
Once done, head back to the camp to give Bob the implant.[N 2]
If V gave Bob the kidney while knowing about the malware:[N 3]
V receives a text message from Bob, asking them to return to the camp. It is revealed that Jake's body accepted the organ, and is recovering steadily from the transplant. Bob will thank V for a job well done and for helping Jake.[N 4]
If V gave Bob the kidney without knowing about the malware:
V receives a text message from Bob, asking them to return to the camp. It is revealed that Jake's body rejected the organ, and has passed away. Bob is sympathetic and does not blame V.","Go to the meeting with the hospital employee.
Meet with the hospital employee.
Take the briefcase with the implant.
Meet with the hospital employee.
Defeat the police.
Confront the hospital employee.
Return to the Aldecaldos camp.
Talk to Bob.
Wait eight hours for the results.
Read Bob's message.
Talk to Bob."
Paid_in_Full,Cyberpunk_2077,This section requires expanding. Click here to add more.📝,Pay off your debt to Viktor – 21000 €$
Nitro_(Youth_Energy),Cyberpunk_2077,"V gets invited for an exclusive event organized by Yaiba on Kiroshi Campus, where their new motorcycle, ASM-R250 Muramasa, can be bought.
It is possible to connect to the showroom via Yaiba's netpage or by going to the Kiroshi Campus directly. At the event V can customize and order their own Muramasa for €$95,000.[N 2]
Next day, the bike is ready for pickup at the Corpo Plaza Docks.","Go to the Yaiba showroom at Kiroshi.
Wait until evening for the Yaiba showroom event to start.
Connect to the Kiroshi bot at the Yaiba showroom event.
Leave the showroom area.
Place a custom order for a Yaiba Muramasa.
Return the bot to its charging station and disconnect.
Read the message from Yaiba Customer Service.
Wait for the custom Yaiba Muramasa to be delivered.
Read the message from Yaiba Customer Service.
Go to delivery location at the docks in Corpo Plaza.
Identify yourself.
Open the container.
Collect the custom Yaiba Muramasa."
These_Boots_Are_Made_for_Walkin%27,Cyberpunk_2077,"After visiting Rogue Amendiares at the Afterlife during Ghost Town, V will get a message from their old car Thorton Galena 80845, revealing its geolocation in the Badlands, due south of the Medeski Fuel Station, within the landfill.
V heads out there and checks under the hood to see if someone has been tinkering with it, and they realize the engine is still warm - someone clearly drove the vehicle recently. As they finish checking it over though they'll be approached by a woman, Lana Prince, who's both surprised and annoyed V's messing with ""her"" car.
Upon asking, Lana reveals that she is desperate to leave the city and has had enough of the wastelands and sees the car as her only hope to start a new life.
V tells Lana they can keep the car:
V told Lana that she can keep the car and gives Lana some suggestions of what she should be doing in order to repair the car before leaving Night City.
V buys the car from Lana:
V offered Lana a large sum of eurodollars in order to buy the car out of sentimental value, so that she can buy something different instead and leave NC. This decision allowed V to reclaim the vehicle as their own.
V threatens Lana to leave:
V threatened Lana to leave, even willing to put her under gunpoint. This decision allowed V to reclaim the vehicle as their own.","Go to the indicated location.
Scan your old car. [Optional]
Look under the hood.
Check the engine.
Talk to the stranger.
Get in your old car.
Talk to Johnny."
Fool_on_the_Hill,Cyberpunk_2077,"V must scan or interact with the 20 tarot cards in Night City. (Two of the Major Arcana, The Devil and Judgement, are only found in certain endings and are not required for this job. The four King cards of Phantom Liberty are also not required for this job.)
Misty mentions these missing cards and discusses The Fool's Journey in reaching The World. To reach it, there are four paths V can take to obtain them, foreshadowing the various endings, being The Sun, The Star, Temperance, and The Devil. V becomes bitter, saying they could die instead, also foreshadowing the suicide ending. After talking with her, Misty gifts V her dreamcatcher, which will appear in V's apartment above the bed.
Card

District

Sub-District

Location


The Fool

Watson

Little China

Right outside V's apartment.


The Magician

Watson

Kabuki

Right outside Lizzie's Bar.


The High Priestess

Heywood

Vista del Rey

At Takemura's hideout.


The Empress

Watson

Little China

Down the stairs, inside the Afterlife.


The Emperor

Watson

Arasaka Waterfront

On the left side next to the gate of Konpeki Plaza.


The Hierophant

Westbrook

Japantown

Down on the water level inside a tunnel, near where you meet Goro Takemura in Down on the Street.


The Lovers

Westbrook

North Oak

The back of the screen at the Silver Pixel Cloud.


The Chariot

Watson

Little China




Strength

Santo Domingo

Rancho Coronado

On the wall of a building at the Rancho Coronado Container Freight Station visited during Ghost Town.


The Hermit

Pacifica

Coastview




Wheel of Fortune

Badlands

Red Peaks

At Sunset Motel.


Justice

Santo Domingo

Arroyo




The Hanged Man

Badlands

Oil Fields




Death

Heywood

The Glen




Temperance

Westbrook

North Oak




The Tower

City Center

Corpo Plaza




The Star

Badlands

Jackson Plains




The Moon

Westbrook

North Oak

Right outside the Arasaka Estate


The Sun

Watson

Little China




The World

Watson

Little China","Talk to Misty.
Find all the 20 tarot graffiti in the city.
(Optional) Talk to Viktor.
Talk to Misty."
